日期,流程,端,包名,实际调用BVN/NIN人数,BVN调用人数,NIN调用人数,仅调用BVN人数,仅调用NIN人数,同时调用BVN和NIN人数,未调用BVN/NIN人数,BVN通过人数,BVN失败人数,NIN通过人数,NIN失败人数,请求人脸识别人数,请求人脸识别次数,最终人脸识别成功人数,最终人脸识别失败人数,人脸识别历史失败总次数,当前保留-人像不匹配次数,当前保留-请求接口失败次数,当前保留-三方接口错误次数,当前保留失败原因次数,成功后被清除的失败原因次数,最终成功用户的历史失败次数,非成功用户异常差值,每日触发人数
2026-07-23,主动填写,App,com.hfhy.waje.special,248,104,168,80,144,24,629,67,37,128,40,40,101,23,5,20,15,0,1,16,4,4,0,
2026-07-23,主动填写,H5,com.wajegame.web,210,111,128,82,99,29,210,59,52,117,11,24,50,12,3,14,13,0,1,14,0,0,0,
2026-07-23,提现触发,App,com.hfhy.waje.special,711,313,497,214,398,99,175,227,86,443,54,581,1427,422,51,293,181,0,0,181,112,112,0,886.0
2026-07-23,提现触发,H5,com.wajegame.web,242,127,167,75,115,52,30,73,54,151,16,219,567,161,18,112,61,0,0,61,51,51,0,272.0
2026-07-24,主动填写,App,com.hfhy.waje.special,299,161,175,124,138,37,813,108,53,142,33,103,327,43,20,89,72,0,1,73,16,16,0,
2026-07-24,主动填写,H5,com.wajegame.web,235,124,154,81,111,43,245,66,58,133,21,39,138,13,6,33,26,0,1,27,6,6,0,
2026-07-24,提现触发,App,com.hfhy.waje.special,787,343,542,245,444,98,189,247,96,499,43,645,1510,468,70,374,230,0,9,239,135,135,0,976.0
2026-07-24,提现触发,H5,com.wajegame.web,244,124,178,66,120,58,43,62,62,158,20,221,540,163,26,137,92,0,0,92,45,45,0,287.0
2026-07-25,主动填写,App,com.hfhy.waje.special,327,164,195,132,163,32,799,101,63,137,58,111,286,55,23,105,85,0,3,88,17,17,0,
2026-07-25,主动填写,H5,com.wajegame.web,223,127,143,80,96,47,274,61,66,108,35,52,173,26,10,53,41,0,0,41,12,12,0,
2026-07-25,提现触发,App,com.hfhy.waje.special,768,326,548,220,442,106,221,237,89,464,84,615,1509,439,60,333,207,0,6,213,120,120,0,989.0
2026-07-25,提现触发,H5,com.wajegame.web,263,139,183,80,124,59,44,80,59,158,25,231,600,166,19,124,77,0,4,81,43,43,0,307.0
2026-07-26,主动填写,App,com.hfhy.waje.special,314,143,205,109,171,34,795,87,56,155,50,133,401,69,29,117,89,0,2,91,26,26,0,
2026-07-26,主动填写,H5,com.wajegame.web,252,151,161,91,101,60,227,70,81,134,27,66,188,25,12,41,28,0,3,31,10,10,0,
2026-07-26,提现触发,App,com.hfhy.waje.special,737,342,496,241,395,101,200,255,87,445,51,630,1549,449,74,386,253,0,4,257,129,129,0,937.0
2026-07-26,提现触发,H5,com.wajegame.web,211,114,147,64,97,50,29,62,52,130,17,188,566,127,22,132,90,0,4,94,38,38,0,240.0
2026-07-27,主动填写,App,com.hfhy.waje.special,269,139,166,103,130,36,833,84,55,129,37,137,360,64,26,114,93,0,3,96,18,18,0,
2026-07-27,主动填写,H5,com.wajegame.web,210,117,133,77,93,40,248,57,60,101,32,46,156,19,9,46,34,0,0,34,12,12,0,
2026-07-27,提现触发,App,com.hfhy.waje.special,764,337,520,244,427,93,218,245,92,459,61,651,1687,433,81,437,283,0,9,292,145,145,0,982.0
2026-07-27,提现触发,H5,com.wajegame.web,256,135,186,70,121,65,52,70,65,155,31,224,620,164,14,86,52,0,0,52,34,34,0,308.0
2026-07-28,主动填写,App,com.hfhy.waje.special,319,150,209,110,169,40,856,96,54,146,63,173,505,66,37,152,120,1,3,124,28,28,0,
2026-07-28,主动填写,H5,com.wajegame.web,245,139,156,89,106,50,347,71,68,112,44,58,182,22,9,32,27,0,0,27,5,5,0,
2026-07-28,提现触发,App,com.hfhy.waje.special,782,390,528,254,392,136,197,290,100,420,108,640,1578,448,63,350,236,0,7,243,107,107,0,979.0
2026-07-28,提现触发,H5,com.wajegame.web,357,202,255,102,155,100,55,109,93,206,49,308,834,213,41,185,136,0,0,136,49,49,0,412.0
2026-07-29,主动填写,App,com.hfhy.waje.special,346,152,232,114,194,38,996,88,64,188,44,177,435,71,42,155,128,0,6,134,21,21,0,
2026-07-29,主动填写,H5,com.wajegame.web,362,181,236,126,181,55,406,95,86,202,34,103,270,43,28,108,93,0,1,94,14,14,0,
2026-07-29,提现触发,App,com.hfhy.waje.special,871,384,589,282,487,102,221,281,103,535,54,744,1753,530,77,416,270,4,8,282,134,134,0,1092.0
2026-07-29,提现触发,H5,com.wajegame.web,388,204,274,114,184,90,65,110,94,235,39,336,911,227,28,181,96,13,3,112,69,69,0,453.0
2026-07-30,主动填写,App,com.hfhy.waje.special,345,172,217,128,173,44,958,109,63,157,60,191,534,70,49,187,168,0,2,170,17,17,0,
2026-07-30,主动填写,H5,com.wajegame.web,331,165,226,105,166,60,376,84,81,185,41,84,331,34,20,83,64,0,0,64,19,19,0,
2026-07-30,提现触发,App,com.hfhy.waje.special,832,389,549,283,443,106,209,293,96,477,72,702,1739,507,68,400,233,3,12,248,152,152,0,1041.0
2026-07-30,提现触发,H5,com.wajegame.web,364,204,244,120,160,84,74,103,101,213,31,313,812,212,28,142,84,0,4,88,54,54,0,438.0
2026-07-31,主动填写,App,com.hfhy.waje.special,308,152,184,124,156,28,904,95,57,142,42,157,379,71,36,130,106,0,2,108,22,22,0,
2026-07-31,主动填写,H5,com.wajegame.web,237,129,149,88,108,41,349,74,55,126,23,85,235,35,10,47,34,0,1,35,12,12,0,
2026-07-31,提现触发,App,com.hfhy.waje.special,770,359,511,259,411,100,207,255,104,457,54,632,1521,458,58,319,192,0,13,205,114,114,0,977.0
2026-07-31,提现触发,H5,com.wajegame.web,325,172,231,94,153,78,51,87,85,197,34,279,828,188,39,195,135,0,7,142,53,53,0,376.0
2026-08-01,主动填写,App,com.hfhy.waje.special,284,137,174,110,147,27,836,88,49,122,52,164,484,73,44,179,136,0,3,139,40,40,0,
2026-08-01,主动填写,H5,com.wajegame.web,240,131,156,84,109,47,322,72,59,120,36,73,175,36,18,65,49,0,1,50,15,15,0,
2026-08-01,提现触发,App,com.hfhy.waje.special,726,325,510,216,401,109,227,226,99,428,82,599,1396,453,54,301,161,0,4,165,136,136,0,953.0
2026-08-01,提现触发,H5,com.wajegame.web,329,167,233,96,162,71,64,97,70,187,46,279,754,197,28,213,88,75,2,165,48,48,0,393.0
2026-08-02,主动填写,App,com.hfhy.waje.special,336,156,212,124,180,32,937,84,72,166,46,157,376,71,35,124,103,0,3,106,18,18,0,
2026-08-02,主动填写,H5,com.wajegame.web,229,117,154,75,112,42,360,44,73,129,25,80,242,37,18,74,60,0,1,61,13,13,0,
2026-08-02,提现触发,App,com.hfhy.waje.special,811,348,555,256,463,92,211,259,89,507,48,695,1807,490,73,415,253,6,11,270,145,145,0,1022.0
2026-08-02,提现触发,H5,com.wajegame.web,340,182,237,103,158,79,48,107,75,204,33,304,912,198,29,189,96,24,5,125,64,64,0,388.0
2026-08-03,主动填写,App,com.hfhy.waje.special,349,161,225,124,188,37,900,105,56,177,48,184,465,83,36,161,111,0,1,112,49,49,0,
2026-08-03,主动填写,H5,com.wajegame.web,267,132,182,85,135,47,342,62,70,144,38,75,223,31,13,52,41,0,0,41,11,11,0,
2026-08-03,提现触发,App,com.hfhy.waje.special,775,340,555,220,435,120,201,230,110,486,69,635,1609,459,54,312,188,0,9,197,115,115,0,976.0
2026-08-03,提现触发,H5,com.wajegame.web,343,199,224,119,144,80,59,112,87,186,38,294,831,187,38,209,143,0,6,149,60,60,0,402.0
2026-08-04,主动填写,App,com.hfhy.waje.special,333,154,215,118,179,36,827,88,66,176,39,181,485,71,44,183,150,0,3,153,30,30,0,
2026-08-04,主动填写,H5,com.wajegame.web,232,137,140,92,95,45,362,72,65,110,30,87,234,35,22,72,59,0,0,59,13,13,0,
2026-08-04,提现触发,App,com.hfhy.waje.special,710,307,504,206,403,101,232,213,94,445,59,600,1383,440,55,283,175,0,11,186,97,97,0,942.0
2026-08-04,提现触发,H5,com.wajegame.web,322,189,233,89,133,100,62,97,92,187,46,278,706,201,27,164,97,0,0,97,67,67,0,384.0
2026-08-05,主动填写,App,com.hfhy.waje.special,351,157,228,123,194,34,965,86,71,172,56,172,474,65,34,134,107,0,2,109,25,25,0,
2026-08-05,主动填写,H5,com.wajegame.web,393,213,248,145,180,68,438,120,93,202,46,84,227,40,15,61,46,0,0,46,15,15,0,
